ecosystem	manifest	lockfile	closure_artifact	sbom_artifact	inventory_status	denied_patterns	approval_ref	notes
go	core/go.mod	core/go.sum	provenance/dependency-inventory/core-go.tsv	provenance/sbom/core-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Go sums are checksums only; release remains blocked until this closure inventory and SBOM are generated offline from pinned module sources.
go	framework/go.mod	framework/go.sum	provenance/dependency-inventory/framework-go.tsv	provenance/sbom/framework-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Go sums are checksums only; release remains blocked until this closure inventory and SBOM are generated offline from pinned module sources.
go	transports/go.mod	transports/go.sum	provenance/dependency-inventory/transports-go.tsv	provenance/sbom/transports-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Go sums are checksums only; release remains blocked until this closure inventory and SBOM are generated offline from pinned module sources.
go	cli/go.mod	cli/go.sum	provenance/dependency-inventory/cli-go.tsv	provenance/sbom/cli-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Go sums are checksums only; release remains blocked until this closure inventory and SBOM are generated offline from pinned module sources.
go	scripts/bifrost-migration-cli/go.mod	scripts/bifrost-migration-cli/go.sum	provenance/dependency-inventory/migration-cli-go.tsv	provenance/sbom/migration-cli-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Go sums are checksums only; release remains blocked until this closure inventory and SBOM are generated offline from pinned module sources.
go	plugins/compat/go.mod	plugins/compat/go.sum	provenance/dependency-inventory/plugin-compat-go.tsv	provenance/sbom/plugin-compat-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/governance/go.mod	plugins/governance/go.sum	provenance/dependency-inventory/plugin-governance-go.tsv	provenance/sbom/plugin-governance-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/jsonparser/go.mod	plugins/jsonparser/go.sum	provenance/dependency-inventory/plugin-jsonparser-go.tsv	provenance/sbom/plugin-jsonparser-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/logging/go.mod	plugins/logging/go.sum	provenance/dependency-inventory/plugin-logging-go.tsv	provenance/sbom/plugin-logging-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/maxim/go.mod	plugins/maxim/go.sum	provenance/dependency-inventory/plugin-maxim-go.tsv	provenance/sbom/plugin-maxim-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/mocker/go.mod	plugins/mocker/go.sum	provenance/dependency-inventory/plugin-mocker-go.tsv	provenance/sbom/plugin-mocker-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/modelcatalogresolver/go.mod	plugins/modelcatalogresolver/go.sum	provenance/dependency-inventory/plugin-modelcatalogresolver-go.tsv	provenance/sbom/plugin-modelcatalogresolver-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/otel/go.mod	plugins/otel/go.sum	provenance/dependency-inventory/plugin-otel-go.tsv	provenance/sbom/plugin-otel-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/prompts/go.mod	plugins/prompts/go.sum	provenance/dependency-inventory/plugin-prompts-go.tsv	provenance/sbom/plugin-prompts-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/semanticcache/go.mod	plugins/semanticcache/go.sum	provenance/dependency-inventory/plugin-semanticcache-go.tsv	provenance/sbom/plugin-semanticcache-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
go	plugins/telemetry/go.mod	plugins/telemetry/go.sum	provenance/dependency-inventory/plugin-telemetry-go.tsv	provenance/sbom/plugin-telemetry-go.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	Plugin closure inventory and SBOM missing.
npm	ui/package.json	ui/package-lock.json	provenance/dependency-inventory/ui-npm.tsv	provenance/sbom/ui-npm.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	NPM lockfile is an input, not a complete license bundle; release remains blocked until closure inventory and SBOM are generated.
npm	npx/bifrost/package.json	npx/bifrost/package-lock.json	provenance/dependency-inventory/npx-bifrost-npm.tsv	provenance/sbom/npx-bifrost-npm.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	NPM package closure inventory and SBOM missing.
npm	npx/bifrost-cli/package.json	none	provenance/dependency-inventory/npx-bifrost-cli-npm.tsv	provenance/sbom/npx-bifrost-cli-npm.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	NPM package has no lockfile but still requires resolved package metadata and SBOM.
npm	npx/bifrost-migration-cli/package.json	none	provenance/dependency-inventory/npx-bifrost-migration-cli-npm.tsv	provenance/sbom/npx-bifrost-migration-cli-npm.spdx.json	unresolved	GPL|AGPL|SSPL|BUSL	none	NPM package has no lockfile but still requires resolved package metadata and SBOM.
